,ID,Comments,CommentsTokenized
0,1309,Does not like the way the phone works. It is to difficult compared to his last phone.,"['Does', 'not', 'like', 'the', 'way', 'the', 'phone', 'works', '.', 'It', 'is', 'to', 'difficult', 'compared', 'to', 'his', 'last', 'phone', '.']"
1,3556,Wanted to know the nearest store location. Wants to buy aditional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'aditional', 'accessories', '.']"
2,2230,Wants to know how to do text messaging. Referred him to website.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'website', '.']"
3,2312,Asked how to disable call waiting. referred him to web site.,"['Asked', 'how', 'to', 'disable', 'call', 'waiting', '.', 'referred', 'him', 'to', 'web', 'site', '.']"
4,3327,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
5,1480,Called about new plan. Might switch soon. Wants more minutes.,"['Called', 'about', 'new', 'plan', '.', 'Might', 'switch', 'soon', '.', 'Wants', 'more', 'minutes', '.']"
6,3789,Wanted to know the nearest store location. Wants to buy additional access-ories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'access-ories', '.']"
7,1060,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
8,1854,He claimed that the charger never really worked very well. As a result the phone was always dying on him. He could not wait to get out of his current contract.,"['He', 'claimed', 'that', 'the', 'charger', 'never', 'really', 'worked', 'very', 'well', '.', 'As', 'a', 'result', 'the', 'phone', 'was', 'always', 'dying', 'on', 'him', '.', 'He', 'could', 'not', 'wait', 'to', 'get', 'out', 'of', 'his', 'current', 'contract', '.']"
9,1745,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
10,841,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
11,2601,Said his batery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'batery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
12,2222,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
13,1557,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
14,2944,Lost the directions to phone and wants another manual. I referred him to web site.,"['Lost', 'the', 'directions', 'to', 'phone', 'and', 'wants', 'another', 'manual', '.', 'I', 'referred', 'him', 'to', 'web', 'site', '.']"
15,2820,Asked how to disable call waiting. referred him to web site.,"['Asked', 'how', 'to', 'disable', 'call', 'waiting', '.', 'referred', 'him', 'to', 'web', 'site', '.']"
